x,y,animal
0.974082283,1.333440836,cat
0.890050091,1.051842345,dog
0.822532957,1.079770547,fish
0.058089266,0.531189217,fish
0.980640277,1.883998004,dog
0.539018976,0.721938256,cat
0.629848177,0.934208528,cat
0.716031219,0.972836633,dog
0.616440841,0.897908791,fish
0.112504836,0.942450947,fish
0.906463368,1.674266372,dog
0.197669111,0.792222351,cat
0.498406234,0.641038937,cat
0.091239091,0.484448662,dog
0.985686809,1.731222366,fish
0.813023596,1.137923508,fish
0.647719176,1.057624905,dog
0.48698302,0.569772203,cat
0.05136739,0.063085534,cat
0.132374976,1.109479011,cat
0.571479187,1.449795706,cat
0.551432383,1.062249431,dog
0.177679641,0.460985433,fish
0.759794708,1.449342841,fish
0.922481032,1.607051575,dog
0.182840798,0.584069595,cat
0.306580021,0.569039679,cat
0.794310401,1.369285754,cat
0.087018563,0.490547872,cat
0.460461739,0.483419932,dog
0.986187047,1.785608576,fish
0.029008364,0.530517124,fish
0.035872927,0.883567738,dog
0.699694719,1.495314111,cat
0.121979503,0.812565743,cat
0.611814767,1.279247598,cat
0.181784489,0.53419383,cat
0.243370739,0.965222763,dog
0.620308468,1.282882389,fish
0.059749283,0.406276422,fish
0.388738282,1.131591164,dog
0.133130552,0.475451289,cat
0.269528204,0.506358049,cat
0.833738287,1.509289726,cat
0.596779549,0.838757001,cat
0.943947013,1.287914597,dog
0.103107567,0.943340126,fish
0.994614946,1.401947714,fish
0.899819456,1.021192755,dog
0.693217019,1.494547306,cat
0.108827877,0.949664486,cat
0.437908534,1.223750549,cat
0.320699823,0.35132885,cat
0.443466862,0.89316973,dog
0.046261386,0.398163763,fish
0.622546661,1.44365713,fish
0.231230447,1.113742984,dog
0.624794122,0.718807343,cat
0.977820519,1.342924673,cat
0.327162971,0.786899546,cat
0.761285267,1.316981045,cat
0.68660404,0.831590901,dog
0.706513891,1.379184395,fish
0.909676636,1.032982884,fish
0.666353655,1.356371376,dog
0.077764214,0.63164808,cat
0.284463902,0.365750152,cat
